,이름,평점,평점표준화,리뷰수,카테고리,도로명,count,사이트
82,바이산,3.3,-0.5080648050737343,3.0,카페/디저트,성수이로,1,포잉
85,도믹스,3.5,-0.08129036881179719,3.0,한식,둘레9가길,1,포잉
86,로스트인내추럴,4.7,2.4793562487598235,3.0,펍,연무장5가길,1,포잉
87,와하카,3.75,0.45217767651562374,4.0,남미식,광나루로2길,1,포잉
92,커피 마켓,2.8,-1.5750008957285762,4.0,카페/디저트,아차산로33길,1,포잉
93,최신족발,3.2,-0.7214520232047019,3.0,한식,아차산로29길,1,포잉
94,로우키 성수,3.6,0.13209684931917137,3.0,카페/디저트,연무장3길,1,포잉
96,카페 성수,3.45,-0.18798397787728097,4.0,카페/디저트,서울숲4길,1,포잉
97,도렐 (육지3호점),3.5,-0.08129036881179719,3.0,카페/디저트,연무장7길,1,포잉
98,허씨 전통중경 마라썅궈 (1호점),3.65,0.23879045838465515,3.0,중식,동일로18길,1,포잉
99,그레이트 커피,3.6,0.13209684931917137,3.0,카페/디저트,서울숲2길,1,포잉
