,이름,평점,주소,카테고리,조회수
341,리하이,0.0,서울특별시 광진구 동일로24길 96 ,나이트라이프,32
342,천하제일솥뚜껑,0.0,서울특별시 성동구 성수이로7길 27 서울숲 코오롱 디지털타워2 ,고기,57
343,모이크,0.0,서울특별시 성동구 아차산로7길 17-1 ,나이트라이프,203
344,dooop,0.0,서울특별시 성동구 서울특별시숲2길 16-8,양식,153
345,섬세이 테라리움,0.0,서울특별시 성동구 서울숲2길 44-1,카페/디저트,279
346,메종 파이프그라운드,0.0,서울특별시 성동구 왕십리로 83-21 ,양식,412
347,퀴버,0.0,서울특별시 성동구 왕십리로5길 3 ,양식,458
348,호미담,0.0,서울특별시 성동구 상원2길 3 ,나이트라이프,178
349,LETARI,0.0,서울특별시 성동구 성덕정9가길 14,카페/디저트,111
350,무화당 키친,0.0,서울특별시 성동구 왕십리로 63,카페/디저트,285
351,라프레플루트,0.0,서울특별시 성동구 왕십리로16가길 10-30,카페/디저트,585
352,얼룩,0.0,서울특별시 성동구 상원1길 35-14 ,나이트라이프,1003
353,서울로인 서울숲점,0.0,서울특별시 성동구 서울숲2길 32-14,고기,1360
354,구수하당,0.0,서울특별시 성동구 광나루로4길 8-1 ,카페/디저트,1095
355,1.5플로어,0.0,서울특별시 성동구 성수일로3길 7-7 ,양식,919
356,타이로띠,0.0,서울특별시 성동구 왕십리로4길 26-12 ,일/중/아시아,211
357,비스트리오,0.0,서울특별시 성동구 서울숲2길 20-8 ,양식,927
358,중화카츠,0.0,서울특별시 성동구 서울숲2길 46-10 ,일/중/아시아,1070
359,TMH,0.0,서울특별시 성동구 성수동2가 315-47,카페/디저트,590
360,콜렉트,0.0,서울특별시 성동구 서울숲2길 20-8 ,카페/디저트,1075
361,쎈느,0.0,서울특별시 성동구 연무장5길 20 ,카페/디저트,646
362,구욱희씨,0.0,서울특별시 성동구 서울숲4길 12-22 ,카페/디저트,725
363,봄의정원,0.0,서울특별시 성동구 뚝섬로 325-23 ,양식,2502
364,버거점프,0.0,서울특별시 성동구 서울숲2길 32-14 ,양식,1008
365,청주한씨,0.0,서울특별시 성동구 연무장길 41-22,나이트라이프,1089
366,잠수교집,0.0,서울특별시 성동구 아차산로 137,고기,1417
367,오브코하우스,0.0,서울특별시 성동구 서울숲6길 17 ,카페/디저트,1249
368,KANTO,0.0,서울특별시 성동구 연무장길 20,카페/디저트,1825
369,빠오즈푸 서울숲직영점,0.0,서울특별시 성동구 왕십리로6길 13,일/중/아시아,618
370,내추럴,0.0,서울특별시 성동구 왕십리로16가길 4,나이트라이프,1213
371,문츠 바베큐,0.0,서울특별시 성동구 연무장5길 6 ,양식,8453
372,코너룸,0.0,서울특별시 성동구 성수일로1길 8,양식,1428
373,무식당,0.0,서울특별시 성동구 왕십리로10길 5-9,고기,1520
374,마크69,0.0,서울특별시 성동구 서울숲길 24,카페/디저트,829
375,크림라벨,0.0,서울 성동구 상원10길 7-1,카페/디저트,1171
376,로우키 ,0.0,서울특별시 성동구 연무장3길 6 ,카페/디저트,587
377,UNDER STAND AVENUE,0.0,서울특별시 성동구 왕십리로 63 언더 스탠드 에비뉴 ,카페/디저트,327
378,서우,0.0,서울특별시 성동구 서울숲2길 32-14,일/중/아시아,2881
379,Bonjour,0.0,서울 성동구 상원2길 7,양식,895
380,제이킴푸드스타일,0.0,서울특별시 성동구 서울숲4길 28-24 ,한식,714
381,곡성,0.0,서울특별시 성동구 성덕정3길 5-1 ,나이트라이프,659
382,카페타치,0.0,서울 성동구 서울숲4길 15,카페/디저트,787
383,태양각,0.0,서울특별시 성동구 아차산로7길 19,일/중/아시아,246
