,이름,평점,주소,카테고리,조회수
75,뺑드에코,3.5,서울특별시 성동구 연무장길 44,카페/디저트,6701
76,버섯집,3.9,서울특별시 성동구 왕십리로5길 9-10,고기,8714
77,훼미리손칼국수보쌈,3.9,서울특별시 성동구 왕십리로 134,한식,5671
78,에르제,3.0,서울특별시 성동구 아차산로 135 ,카페/디저트,1228
79,제제,3.5,서울특별시 성동구 서울숲길 46-1 ,일/중/아시아,2400
80,플레이버타운,4.8,서울특별시 성동구 서울숲4길 18-7,일/중/아시아,2478
81,누메로도스,4.4,서울특별시 성동구 상원1길 35-9,양식,3980
82,소나무,3.7,서울특별시 성동구 행당로17길 20,고기,3059
83,멜드meld,3.5,서울특별시 성동구 왕십리로14길 28-1  ,양식,952
84,마인어스,3.0,서울특별시 성동구 아차산로13길 2 ,나이트라이프,1084
85,수원원조갈비,3.3,,고기,6253
86,평생한우밖에모르는남자,3.7,서울특별시 성동구 성수이로 50,고기,5971
87,센터커피,4.6,서울특별시 성동구 서울숲2길 28-11,카페/디저트,6112
88,제주국수,2.6,서울특별시 성동구 성수이로 118,한식,4227
89,뚝섬해물탕,3.9,,씨푸드,8149
90,kuna 쿠나,3.5,서울특별시 성동구 연무장5길 9-16,양식,2827
91,빙봉,3.5,서울특별시 성동구 서울숲2길 18-14,양식,5533
92,위풍당당족발,2.8,서울특별시 성동구 성수일로8길 53 성수동복합시설 ,고기,2525
93,이북집 찹쌀순대 용산점,2.7,,한식,8153
94,포지티브 제로 라운지,3.3,서울특별시 성동구 연무장길 14-2,나이트라이프,3031
95,우디집,3.9,서울특별시 성동구 둘레9길 17,카페/디저트,5571
96,카린지,3.5,서울특별시 성동구 왕십리로4길 10-3 ,일/중/아시아,3303
97,에머이,4.3,서울특별시 성동구 성수이로 117,일/중/아시아,3917
98,소녀방앗간 서울숲시작점,3.7,서울특별시 성동구 왕십리로5길 9-16,한식,5193
99,시골집,3.5,서울특별시 성동구 성수이로 36-9 ,한식,3071
100,eert 이이알티,3.5,서울특별시 성동구 서울숲2길 19-17,카페/디저트,4933
101,wall.seoul,2.9,서울특별시 성동구 성수이로 65,카페/디저트,2950
102,소바식당,4.5,서울특별시 성동구 연무장7가길 6,일/중/아시아,6734
103,중앙감속기,4.4,서울특별시 성동구 성수일로6길 7-1 ,일/중/아시아,2899
104,사계,3.0,서울특별시 성동구 연무장13길 19,나이트라이프,1543
105,쓰리오브어스,3.0,서울특별시 성동구 연무장길 41-18,나이트라이프,6212
106,그레이스톤,3.0,서울 성동구 성수이로7길 27,카페/디저트,2988
107,유어네이키드치즈,4.0,서울특별시 성동구 성수일로1길 10 ,양식,1851
108,묘사서울,3.0,서울특별시 성동구 서울숲2길 2,카페/디저트,3354
109,스탠서울,3.6,서울특별시 성동구 연무장길 33  ,나이트라이프,890
110,서울리안,3.8,서울특별시 성동구 뚝섬로1가길 24 ,나이트라이프,4028
111,다로베,3.8,서울특별시 강남구 선릉로 757,양식,3045
